,project_id,visitor_id,experiment_id,uid,status,is_mobile,created_at,experiment_name,platform
1227,21,52338,49.0,0rRCPbJmdispdGwHJ8UTSN,complete,0,2023-12-06 16:00:43,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1230,21,52387,49.0,5XJ1lFkQxYkGZLU1vEkgnD,complete,0,2023-12-06 16:15:17,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1231,21,52395,49.0,6hCD2XltVV5a4POiKr5JOY,complete,0,2023-12-06 16:17:20,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1234,21,52483,49.0,5yKXof7zJswDD2Htj67bEf,complete,1,2023-12-06 17:04:47,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1237,21,52529,49.0,3sGLHj3DepERcz6mMV7jjV,complete,0,2023-12-06 17:21:52,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1240,21,52552,49.0,6TTQpjWMR6CpVy9KdQE5PA,complete,0,2023-12-06 17:32:07,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1259,21,52888,49.0,3dObvwQb7PEzlKJwzJVKrS,complete,0,2023-12-06 19:28:21,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1276,21,53139,49.0,1j4aVilBLsYJnudOk4yvq9,complete,0,2023-12-06 20:45:14,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1280,21,53161,49.0,3BBfcH93FuVvn6aotNRUkQ,complete,1,2023-12-06 20:49:38,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1281,21,53173,49.0,1ySt86wSmBaClULE1ueX3z,complete,1,2023-12-06 20:52:57,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1288,21,53337,49.0,3bUubHKt6AL38i4feiZ5NB,complete,1,2023-12-06 23:29:25,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1292,21,53407,49.0,0H4k8bHf9ykORMWicf8hLL,complete,1,2023-12-07 01:55:36,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1309,21,53518,49.0,5wrFx6oica0FPASvFxc742,complete,0,2023-12-07 03:09:30,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1317,21,53580,49.0,4nmZ9elY4QGQ7JI8DF8DHu,complete,0,2023-12-07 03:29:02,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1328,21,53644,49.0,1RnfAAhPotSYhpy485piIr,complete,1,2023-12-07 03:49:50,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1332,21,53672,49.0,5IIwPbk6FTdJFsoCzuBNNU,complete,1,2023-12-07 03:59:02,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1347,21,53760,49.0,2PhsVMWLO8hmoeplJB396F,complete,0,2023-12-07 04:22:34,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1354,21,53820,49.0,0URiul2tMDqebbBG86ktVa,complete,1,2023-12-07 04:44:55,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1356,21,53834,49.0,1ZA6KLVmBhFGwr73jaO01y,complete,0,2023-12-07 04:50:56,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1368,21,53890,49.0,4CnihewyPo4QDQ3WbVLDwV,complete,0,2023-12-07 05:29:54,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1376,21,53986,49.0,2q1vZP3My0J0ThQUgyerfo,complete,1,2023-12-07 06:54:04,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1388,21,54181,49.0,2FJopJ61kA38PoUNKqReQc,complete,1,2023-12-07 11:33:09,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1390,21,54195,49.0,6KnJdlhnjmBcTvwdNI2gts,complete,1,2023-12-07 11:42:53,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
